initial_token,token_with_border
məntiqlə,mən<>tiqlə
keçisi,keç<>is<>i
həttaxan,həttax<>a<>n
olmayı,olm<>a<>yı
azərin,azə<>r<>in
maştağa,maştağ<>a
kuyudatı,kuyuda<>t<>ı
yazqanı,yaz<>qanı
daşınan,daş<>ı<>nan
hökmən,hökmə<>n
dosyaya,dosyay<>a
kudel,kude<>l
ödemeyen,ödemeye<>n
anesin,anes<>i<>n
eureka,eure<>k<>a
balıq,bal<>ıq
tikişdən,tikişd<>ə<>n
gedirəm,gedirə<>m
saida,said<>a
oxudula,oxu<>dul<>a
ixracını,ixracın<>ı
museum,mus<>eu<>m
baxışın,bax<>ışın
yarıya,yar<>ı<>ya
çağlasa,çağ<>las<>a
sunni,sunn<>i
keçirilə,keç<>i<>rilə
qarabağl,qar<>a<>bağl
october,octob<>e<>r
üzücüdür,üzücüdü<>r
ipleri,iple<>r<>i
yanis,yan<>is
vasfını,vasfı<>n<>ı
təlaşını,təlaşı<>n<>ı
olunacaq,olu<>n<>acaq
cəzalısı,cəzalı<>s<>ı
pəsxan,pəsx<>a<>n
mərv,mər<>v
gözləmir,göz<>l<>əmir
bilimi,bil<>i<>mi
nəzərə,nəz<>ərə
kücəsi,kücə<>s<>i
çıxmaq,çıx<>maq
əliyevlə,əli<>yevlə
kələntər,kələnt<>ə<>r
intibah,int<>ibah
tsbit,tsbi<>t
bağban,bağ<>ban
sürülüb,sür<>ülüb
ödənili,ödə<>nili
isteyene,ist<>e<>yene
cumabay,cumaba<>y
işlədilə,işl<>ə<>dilə
nöqteyi,nöqte<>y<>i
şimdiye,şimdiy<>e
kivçaqni,kivçaq<>n<>i
görəcyik,gör<>əcyi<>k
action,actio<>n
nqbayev,nqbay<>e<>v
yerlərdi,yer<>l<>ərdi
qacvi,qacv<>i
dürtüsü,dürtüs<>ü
mohsen,mohs<>e<>n
refakat,refak<>a<>t
mockva,mock<>v<>a
şəhidi,şəh<>idi
verilmel,ver<>i<>lmel
adlarını,adl<>a<>rını
söyləməd,söy<>l<>əməd
bebekten,bebekt<>e<>n
qlenin,qlen<>i<>n
yapmadan,yap<>mada<>n
sağduci,sağ<>duc<>i
promedia,pro<>medi<>a
ataların,ata<>ların
sözlər,söz<>lər
graecus,graecu<>s
snasnda,snasn<>d<>a
geçersiz,geçers<>i<>z
məsudun,məsud<>u<>n
bulvar,bul<>var
gaznide,gaznid<>e
yanaşma,yan<>aşma
italyası,italyas<>ı
deyibmən,dey<>i<>bmən
güllü,gül<>lü
pillənin,pillən<>i<>n
qalqa,qal<>qa
xocalini,xocalin<>i
bilmemiz,bil<>memi<>z
halepli,hal<>epl<>i
öğesinin,öğesin<>i<>n
stages,sta<>ge<>s
dəstə,dəs<>t<>ə
deliçay,deliça<>y
keçici,keç<>ic<>i
electron,ele<>ctron
qayğıya,qay<>ğıya
fəzanın,fəzan<>ı<>n
dayatan,day<>a<>tan
oluyord,olu<>yord
haqqənda,haqqən<>d<>a
beynimdə,beynimd<>ə
caxsma,caxsm<>a
ağlamaya,ağlamay<>a
bismarck,bismarc<>k
işlərini,işl<>ə<>rini
xeyfets,xeyfet<>s
zəminlər,zəminl<>ə<>r
taraftan,tar<>aftan
misirdə,misird<>ə
zararsız,zarars<>ı<>z
dinləyiş,din<>ləyiş
fiilen,fiile<>n
öldükdə,öldükd<>ə
qozbel,qozbe<>l
yollarna,yol<>larn<>a
vezneli,vezne<>l<>i
mühiddin,mühidd<>i<>n
varsınız,var<>sınız
kuzgun,kuzg<>u<>n
aktaş,akt<>aş
belirt,bel<>irt
genuya,genu<>y<>a
hriyar,hriy<>a<>r
götaland,göt<>alan<>d
əliağa,əli<>ağ<>a
kompleks,kom<>p<>leks
imanlar,imanla<>r
dağlayan,dağlay<>a<>n
güclənir,güc<>lənir
aparılsa,apa<>rıls<>a
dönüld,dön<>üld
mərci,mər<>ci
yansa,yan<>sa
sənə,sən<>ə
yaşlıdı,yaş<>lıd<>ı
hərə,hər<>ə
yengica,yen<>gica
gurbette,gurbett<>e
mükftı,mükft<>ı
bölüşmək,böl<>ü<>şmək
nefsi,nefs<>i
seçməklə,seç<>məklə
inçi,inç<>i
hazırla,haz<>ı<>rla
yazılan,yaz<>ı<>lan
enğin,enğ<>i<>n
ziyanlar,ziyanla<>r
korea,kor<>ea
idealı,ide<>alı
xanlığın,xanlığı<>n
düşüp,düş<>ü<>p
gəlməyib,gəl<>məyib
veriye,ver<>i<>ye
katoice,kat<>oic<>e
existing,existi<>n<>g
liflərin,liflər<>i<>n
bitenler,bitenl<>e<>r
nəqletmə,nəqletm<>ə
partle,par<>t<>le
sammut,sammu<>t
katma,kat<>ma
quroviç,qur<>oviç
kobıxevi,kobıxev<>i
oyununun,oyununu<>n
asimder,asimd<>e<>r
gerişek,ger<>işe<>k
yalova,yalov<>a
olursunu,olu<>rsunu
vurula,vur<>ula
çoxaylı,çoxay<>l<>ı
ölüyor,ölüyo<>r
nümayişi,nüm<>ayişi
ordendə,ordend<>ə
sərhədçi,sər<>hədçi
emilecek,emilec<>e<>k
başlayı,baş<>l<>ayı
qurbanlı,qur<>banlı
katılıp,kat<>ılıp
omuzbaşı,omuzbaş<>ı
boboçka,boboç<>k<>a
topla,top<>l<>a
dilək,dil<>ək
içan,iça<>n
haqlıdı,haqlıd<>ı
tirkmeli,tirkme<>l<>i
çoxunda,çox<>und<>a
marquis,mar<>qui<>s
düzey,düz<>ey
olursak,olu<>rsak
sehrlə,sehrl<>ə
kələmquş,kələmqu<>ş
avciya,avciy<>a
kuran,kur<>an
tulumun,tulumu<>n
cavadlar,cavadl<>a<>r
toğrulun,toğrul<>u<>n
mənasıdı,mən<>asıd<>ı
vern,ver<>n
savadı,sav<>adı
irşad,irşa<>d
insanı,ins<>anı
tərkinə,tər<>kin<>ə
dilidi,dil<>idi
hikmətin,hikməti<>n
birsəsli,bir<>səsl<>i
apardıla,apa<>rdıl<>a
acısını,acısın<>ı
nazlanır,nazlan<>ı<>r
qiçs,qiç<>s
köçkün,köç<>kün
derdimiz,der<>dimi<>z
məslə,məs<>lə
istrdini,ist<>rdin<>i
yozulur,yozulu<>r
insident,ins<>ident
əlaməti,əla<>məti
marı,mar<>ı
batinin,batin<>i<>n
teatrda,teatrd<>a
zanardi,zanard<>i
dəstgahı,dəs<>t<>gahı
qalqlar,qalql<>a<>r
dayanaca,day<>a<>naca
geleni,gel<>eni
mərcanlı,mər<>canl<>ı
çalarlı,çal<>arlı
sipariş,sipar<>i<>ş
balux,bal<>ux
ekrandan,ekrand<>a<>n
yerküre,yer<>kür<>e
burma,bur<>ma
vojtyla,vojty<>l<>a
müdafiyə,müd<>afiy<>ə
mütamadi,mütama<>d<>i
həmidova,həm<>idova
yazdığım,yaz<>dığım
açılışa,açı<>lışa
kefcil,kefc<>i<>l
halkın,hal<>kın
mxanas,mxana<>s
törti,tör<>ti
tolişi,toliş<>i
iisus,iisu<>s
yayım,yay<>ı<>m
kəsim,kəs<>im
marselə,mar<>selə
oyılari,oyıla<>r<>i
gününe,gün<>üne
korri,kor<>ri
komşular,kom<>şular
rossiya,rossi<>y<>a
kazik,kaz<>ik
romiou,romio<>u
əlacsız,əlacs<>ı<>z
qurtardı,qur<>tardı
pənjəsi,pənjə<>s<>i
simurq,sim<>urq
mədinədə,mədinəd<>ə
olmaktan,olm<>a<>ktan
oçerklər,oçerkl<>ə<>r
təğdirin,təğdir<>i<>n
göyəzən,göyəz<>ə<>n
beyvazov,beyvaz<>o<>v
vətarix,vətari<>x
çıxmaqla,çıx<>maql<>a
pianocu,pianoc<>u
lövhəni,lövhən<>i
feridun,ferid<>u<>n
göllerde,göllerd<>e
balasi,bal<>asi
işləmə,işl<>ə<>mə
yerleşim,yer<>l<>eşim
trotski,trots<>k<>i
fərəh,fər<>əh
ağdamın,ağdamı<>n
renminbi,renminb<>i
murtuzov,murtuzo<>v
aparacaq,apa<>r<>acaq
xəttnə,xəttn<>ə
üslubda,üslubd<>a
konsertə,kon<>s<>ertə
keşifler,keşifl<>e<>r
tərtər,tər<>tər
tecrit,tecri<>t
yetirild,yet<>i<>rild
düzəlişi,düz<>əlişi
montita,montit<>a
məruzədə,mər<>uzəd<>ə
ashikaga,ashikag<>a
arabalar,ara<>balar
sahəyə,sah<>əy<>ə
malt,mal<>t
ecnebi,ecneb<>i
ballada,bal<>lada
gəlməsün,gəl<>məsü<>n
hatikvah,hatikva<>h
sənədini,sən<>ədin<>i
asqrrsa,asqrr<>s<>a
biləcər,bil<>əcər
bolonya,bolony<>a
plastik,pla<>stik
baxama,bax<>ama
revetman,revetm<>a<>n
seddine,seddin<>e
zavoddan,zavodd<>a<>n
işlənsi,işl<>əns<>i
hakanlar,hakanl<>a<>r
veri,ver<>i
yaşayırn,yaş<>a<>yırn
gərilən,gərilə<>n
azak,aza<>k
lahti,laht<>i
artmas,art<>mas
yürəqini,yürəqi<>n<>i
meyvsepi,mey<>vsep<>i
mühasib,müh<>asib
turmux,tur<>mu<>x
tələbli,təl<>əbli
şaqayı,şaqay<>ı
durunca,dur<>unc<>a
saatten,saatte<>n
sonuçlar,son<>uçlar
edibdir,edibd<>i<>r
qorunma,qor<>unma
həmişə,həm<>işə
yaşayışı,yaş<>a<>yışı
taçların,taçlar<>ı<>n
səfiliya,səf<>iliy<>a
işlənə,işl<>ə<>nə
qığılcım,qığılcı<>m
konumi,kon<>u<>mi
vaduzda,vaduz<>d<>a
anaların,ana<>ların
fatoglu,fatog<>l<>u
sahlrind,sah<>lrin<>d
kudüs,kudü<>s
baxmamas,bax<>mama<>s
oksford,oksfo<>r<>d
bilmsi,bil<>ms<>i
keçəldağ,keç<>əldağ
bakıdı,bak<>ıdı
parkı,par<>kı
şeklinin,şeklini<>n
tiqran,tiqr<>a<>n
updating,updati<>n<>g
düşen,düş<>en
ruijin,ruij<>i<>n
nolar,nol<>a<>r
əsasnamə,əsa<>snamə
içurdun,içurd<>u<>n
haray,har<>ay
yanğının,yan<>ğını<>n
lmləri,lmlə<>r<>i
güld,gül<>d
cansever,cansev<>e<>r
ikişər,ikişə<>r
zərdabi,zər<>dabi
dahur,dahu<>r
vaxtıdır,vaxtıd<>ı<>r
polad,pol<>ad
təhfil,təh<>fi<>l
bitlis,bit<>lis
alscheid,alschei<>d
azkuri,azku<>r<>i
aşağdakı,aşağdak<>ı
verilen,ver<>i<>len
heyiflər,heyifl<>ə<>r
misirin,misiri<>n
çəksək,çək<>sə<>k
nqoşqar,nqoşq<>a<>r
yetişi,yet<>i<>şi
sevirəm,sev<>irə<>m
dəyər,dəy<>ər
duruş,dur<>uş
qoysunla,qoysun<>l<>a
abbasın,abbası<>n
sorayım,sor<>ayı<>m
buraxılı,bur<>a<>xılı
kararla,kar<>a<>rla
aldıqda,aldıqd<>a
veriliyo,ver<>i<>liyo
geçecek,geç<>ecek
ödəmir,ödə<>mir
ifaçının,ifaçını<>n
özülünün,özülünü<>n
suliddin,sulidd<>i<>n
dəsdəyi,dəs<>dəy<>i
danışman,dan<>ı<>şman
eikara,eika<>r<>a
çıqardı,çıqar<>d<>ı
sevərək,sev<>ərək
kimyası,kim<>yası
bili,bil<>i
varını,var<>ını
bəzədiyi,bəzədiy<>i
etdilə,etd<>i<>lə
play,pla<>y
azimut,azimu<>t
hara,har<>a
yazdıla,yaz<>dıl<>a
eridile,eridi<>l<>e
üyelerce,üyelerc<>e
göstərsə,gös<>t<>ərsə
sbbini,sbbin<>i
dönem,dön<>em
əhalidən,əhalid<>ə<>n
zərfləri,zər<>fləri
laptev,lapt<>e<>v
seremoni,ser<>emoni
alınır,alı<>n<>ır
jəuüz,jəuü<>z
response,res<>pons<>e
çəkəcək,çək<>əcək
ödəmək,ödə<>mək
mariusz,mar<>ius<>z
oldilər,oldil<>ə<>r
kitabesi,kit<>abes<>i
stajoru,sta<>jor<>u
menyuya,menyuy<>a
təhlilə,təh<>lilə
saxlasin,sax<>lasi<>n
dəmirəl,dəmirə<>l
türkcəyə,tür<>kcəy<>ə
tikilini,tikilin<>i
bira,bir<>a
əməyinin,əmə<>yinin
qoşununu,qoş<>ununu
serdar,serd<>a<>r
ringgit,ringgi<>t
tanıtd,tan<>ı<>td
burjundi,burjun<>d<>i
vlaamse,vlaams<>e
skrzypek,skrzyp<>e<>k
konseyi,kon<>s<>eyi
sanitar,san<>itar
diyenler,diyenle<>r
əmrahlı,əmrahl<>ı
gəlin,gəl<>in
qazanmaq,qaz<>a<>nmaq
milix,mil<>ix
polisler,polisl<>e<>r
oynanıyo,oynanıy<>o
londonun,londonu<>n
tarzən,tar<>zən
belbağ,bel<>bağ
sarsıtd,sar<>sıtd
ərdahan,ərdah<>a<>n
afganca,afganc<>a
dügmə,dügm<>ə
turş,tur<>ş
ktibi,ktib<>i
gönlünde,gön<>lünd<>e
düzeniyd,düz<>eniyd
alain,ala<>i<>n
düşürlə,düş<>ü<>rlə
adln,adl<>n
sayıma,say<>ıma
aytəkin,aytək<>i<>n
sınayaca,sın<>ayaca
gykommy,gykomm<>y
inşallah,inşalla<>h
yönetmen,yön<>etmen
alışsa,alı<>şs<>a
fikrimlə,fikriml<>ə
sparrou,sparro<>u
əhaliyə,əhaliy<>ə
gətirild,gət<>i<>rild
tekbetek,tekbet<>e<>k
yadmdan,yadmd<>a<>n
odnim,odni<>m
tfsirini,tfsiri<>n<>i
sikild,sikil<>d
pilləyə,pilləy<>ə
müddətdə,müd<>dətdə
gökbilim,gökbili<>m
hasretle,hasretl<>e
cesurca,cesurc<>a
caferin,caferi<>n
bilsən,bil<>sən
heyətlə,hey<>ətlə
sorğuda,sor<>ğud<>a
sayfa,say<>fa
çayında,çayınd<>a
şrapnel,şrapne<>l
açılmağı,açı<>lmağ<>ı
kesindi,kesind<>i
hungary,hungar<>y
nəhrləri,nəhrlə<>r<>i
aspier,aspie<>r
kuronya,kuron<>y<>a
getdim,get<>dim
hükmetin,hükmeti<>n
araması,ara<>ması
neftli,neftl<>i
aborigen,aborig<>e<>n
şərtinə,şər<>tin<>ə
haciyeva,haciyev<>a
sıyırın,sıyır<>ı<>n
baxması,bax<>ması
kumşəkər,kumşək<>ə<>r
sürmüşdü,sür<>müşdü
olası,ola<>sı
tacitus,tacitu<>s
çincar,çinca<>r
dəvətsiz,dəvəts<>i<>z
olunmuşd,olu<>n<>muşd
geyiği,geyiğ<>i
